loss,acw,seed,cv_macro_f1,cv_std
MultiClass,Balanced,42,0.4959435298461208,0.0034445812683645215
MultiClass,Balanced,52,0.49606126054070226,0.0040997507040615175
MultiClass,Balanced,62,0.4951602418361877,0.004106159609541966
MultiClass,SqrtBalanced,42,0.47109032092044123,0.00403817148846463
MultiClass,SqrtBalanced,52,0.46825211941963063,0.0024570086852723264
MultiClass,SqrtBalanced,62,0.46685558661708093,0.006756323029324014
MultiClassOneVsAll,Balanced,42,0.4956707876271248,0.00339131601830314
MultiClassOneVsAll,Balanced,52,0.4950972150512943,0.004166017078284754
MultiClassOneVsAll,Balanced,62,0.4950563586341426,0.004065303159795084
MultiClassOneVsAll,SqrtBalanced,42,0.4671724665716755,0.007913257557646509
MultiClassOneVsAll,SqrtBalanced,52,0.4670510652696137,0.0075560224649288705
MultiClassOneVsAll,SqrtBalanced,62,0.46737063275954016,0.00857169999236992
