fold,baseline_macro_f1,v2_macro_f1,gain
1,0.4976914467232563,0.4978325248413123,0.0001410781180559706
2,0.49407515796896107,0.49456239726640466,0.00048723929744359795
3,0.4910347475969628,0.49187656015628606,0.0008418125593232517
4,0.49531100956228863,0.4964675859010992,0.0011565763388105554
5,0.4949095318702727,0.4949496907510853,4.015888081260188e-05
