seed,mean_macro_f1,std_macro_f1
42,0.4942659469329018,0.0025375898962806086
52,0.4945707781647335,0.002812511970166669
62,0.49478501957029,0.00319199316674076
72,0.4948887377843533,0.0028992698447223436
82,0.4951677100366255,0.002931536427997865
avg_oof,0.4947221596272331,
