fold,baseline_macro_f1,v2_macro_f1,gain
1,0.4976914467232563,0.4985832051065593,0.0008917583833029652
2,0.49407515796896107,0.49514362316343946,0.0010684651944783963
3,0.4910347475969628,0.4901543905955523,-0.0008803570014104811
4,0.49531100956228863,0.495236791366416,-7.421819587261069e-05
5,0.4949095318702727,0.4925556759142613,-0.002353855956011397
