seed,mean_macro_f1,std_macro_f1
42,0.4941164323991941,0.0028724842078252737
52,0.494593472688228,0.002411608801700356
62,0.4949021719326089,0.0028875908185356514
72,0.49504644368489803,0.0027345922379213602
82,0.4945532250001836,0.0022238616536935756
avg_oof,0.4946863779735913,
